"RAW CONSOLIDATED BACKUP  |  5,864 RECORDS  |  All source data preserved",,,,,,,,
Company Name,City,Country,Email,Website,Product Category,Certifications,Full Address,Products
Brittle-Brittle Incorporated,,USA,,https://brittle-brittle.com/,Nuts List,,,Nuts Brittle candy
Broadgrain,,Canada,broadgrain@broadgrain.com,https://www.broadgrain.com/,Red lentils Nov24,,,
Broadgrain Commodities Inc,,Canada,broadgrain@broadgrain.com,https://www.broadgrain.com/,Red lentils Nov24,,,
BronPro Processors (Pty) Ltd,,South Africa,rickbasson@vodamail.co.za,https://www.bronpro.co.za/index.php,Orange Juice  & Concentrate,,,"Puree, Concentrate"
Brooks Peanut Company Shelling Facility,,USA,,World-leading peanuts supplier (ofi.com),Nuts List,,,"Almonds, Cashew, Hazelnuts, Peanuts, Macadamia Nuts, Pistachio, Walnuts,"
BRUEGGEN AMERICA S.A.,,Chile,,,Dried Fruits List,,,breakfast cereals
BRX EXPRESS,,,contact@brxexpress.com,https://brxexpress.com/,WHITE CORN MAIZE,,"BRX Express Officer. Rodovia Raposo Tavares KM 22 - Granja Viana, São Paulo / Cotia - SP - Brazil",
Brynild AS,Fredrikstad,Norway,,,Dried Fruits,Food,,
"BSCM Foods Co.,Ltd.",,Thailand,info@bscm.co.th,https://bscmfoods.com/,Rice list,,,"Ready Rice, Ready Meals"
Buchanan Hollow Nut Company,,"California, Usa",https://bhnc.com/contact-us/,https://bhnc.com/,Almonds - Ruchita,,"6510 Minturn Rd.
Le Grand, CA 95333","Almonds, Pistachios and Dried fruit"
Budelpack Poortvliet B.V.,Poortvliet,Netherlands,,,Dried Fruits,Food,,
Bulgarian Nuts Ltd,,Bulgaria,bulgarian.nuts@gmail.com,https://www.bulgarian-nuts.com/,Dried Fruits & Nuts,,,"wlanuts, hazelnuts, almonds"
Bulus Corap San ve Tic. Ltd. Sti.,,Türkiye,,,Red lentils Nov24,,,
BÜMAG eG Mitgliedsbetrieb,,Germany,,,Household Textiles,,"29, Schönheider Str., Stützengrün, Saxony, GERMANY",
BUONO (Thailand) Public Company Limited,,Thailand,export@buonogroup.com,https://buonogroup.com/,Rice list,,,"Frozen Products, Gelato"
BURIRAM SUGAR FACTORY COMPANY LIMIT,,Buriramsugar@Buriramsugar.Com,Export.bsf@brr.co.th,https://www.buriramsugar.com/en/our-business/overview/5/sugar-business,Sugar,,,
Burpak (Pty) Ltd,,South Africa,brc@burpak.co.za,,Avocado-Nov 24,,,
Business location B10 - Olam Viet Nam company limited,,Vietnam,,,Nuts List,,,
BVK,,India,,https://www.navadurgabvk.com/index.php,Rice in a bag,,,Boil-in-Bag White Rice
BY GARMENT MAKERS,,Not Given,info@bygarmentmakers.com,https://bygarmentmakers.com/pages/our-story,Textile,,not given,
C. Ramakrishna Padayatchi,,,,,Cashew supplier for Middle Eas,,,
C.LTDA.,,,,website not available,Shrimps,,,
"CABEZUELO FOODS, S.L.",,Spain,info@cabezuelofoods.com,https://cabezuelofoods.com/es/,Shrimps,,,"Precooked Seafood, Finger Foods"
CABRINI HERMANOS LTDA.,,Chile,no website,,Fresh fruits and vegetables,,,
Cahaya Kencana,,Indonesia,hello@cahaya-kencana.com,https://cahaya-kencana.com/contact/,Anuga - India,,,"Noodles, Crackers, Snacka"
Caiba,,Brazil,contato@caiba.com.br,https://caiba.com.br/produtos,Brazil Nuts,,,Brazil Nuts
CAJOU DU CENTRE,,,,,Cashew 25,,,
ÇAKMAKLAR GIDA SANAYİ,,,cakmak@cakmaklarfindik.com,http://www.cakmaklarfindik.com/urunler.php?sayfa=urunler,Hazelnuts,,"Sahil Köyü ,Sahil Mahallesi no: 62
Ünye, Ordu",Hazelnuts
CALBU SERVICE LTDA,,Chile,sales@calbu.com,https://calbu.cl/,Nuts List,,,Walnuts
Calconut S.L.,,,info@calconut.es,https://www.calconut.com/en/about-us/,BRC Macadamia,Brc Certifications And Ifs certifications,,Macadamia Nuts
Calcutta Seafoods Private Limited,,India,,website not available,Shrimps,,,
CALCUTTA SEAFOODS PRIVATE LIMITED (Also known as Elque Group),,India,"csf@cal.vsnl.net.in,  sales@elquegroup.com, indra@elquegroup.com, elque@vsnl.net.in",http://www.elquegroup.com (Repeat of row 94),Frozen Shrimps,,,Shrimp
"CALCUTTA SEAFOODS PRIVATE LIMITED ASC-C-01701 0 ""Whiteleg shrimp",,,,,ASC Shrimp,,,
CALETA BAY PROCESOS SPA (CHINQUIO),,Chile,,,Chile from BRC,,,
Caleta Bay Procesos SPA. (El Teniente),,Chile,,https://www.caletabay.com/,Chile from BRC,,,
California almonds,,,inquiries@almondboard.com,https://www.almonds.com/,Almonds - Ruchita,,,almonds
CALIX IMPEX INTERNATIONAL,,713,south qulaity rice,https://calixindia.com/,Pulses,,,DHALL
Calvary Cashew Company,,,,,Cashew supplier for Middle Eas,,,
"Calway Foods, Inc",,Georgia,jackh@calwayfoods.com,www.calwayfoods.com,Pecan Nuts,,"2005 De La Cruz Blvd, Suit 134 Santa Clara, California 95050","Walnuts, Almonds, Pista and Pecan nut"
Camanchaca Cultivos Sur S.A.,,Chile,,,Chile from BRC,,,
CÁMARA ARROCERA DEL MONTSIÀ,,,lacamara@lacamara.es,https://www.lacamara.es/en/parboiled-rice,RICE,,"C/ Salvador Dalí, 27-29
(antes c/. San Cristóbal 115)
43870 AMPOSTA
(Tarragona) España",parboiled rice
CAMARICO SPA,,Chile,contacto@agricamarico.com,https://agricamarico.com/,Chile from BRC,,,
CAMINO ANDINO S.A.C,,Peru,ursula.cueto@caminoandino.pe,https://camino-andino.com/,Quinoa -Nov24,,,
Campos Brothers Farms,,USA,info@camposbrothers.com,https://www.camposbrothers.com/,Almonds - Ruchita,,"15516 S Walnut Ave, Caruthers, CA 93609",almonds
CANADA SUPPLIERS,,,,,Pulses,,,
Canada Trade Pioneers Inc,,Canada,info@canadatradepioneers.ca,http://canadatradepioneers.ca/,Red lentils Nov24,,,
Canadian Agri Impex,,,info@canadianagriimpex.com,http://www.canadianagriimpex.com/,Pulses,,,
Canadian grain Inc,,,jamal@canadiangraininc.com,https://albertapulse.com/,Pulses,,,
Canadian Grain Inc.,,Canada,jamal@canadiangraininc.com,https://www.canadiangraininc.com/,Red lentils Nov24,,,
Canadian Suppliers - 22.10.2024,,,,,Pulses,,,
Canat Nuts&Snacks,,,canat@canat.com.tr,,SIAL NUTS,,,"NUTS
DRIED FRUITS
TRADITIONAL TASTES
COFFEE"
CANDIA NUTS SA,HERAKLIONS,Greece,,,Dried Fruits,Food,,
Canned pineapple,,,,,Pineapple juice 25,,,
CAO PHAT CO. LTD.,,,,,Cashew 25,,,
CAO PHAT COMPANY LIMITED,,Vietnam,info@caophat.com.vn,https://caophat.com.vn/,Cashew Nov 24,,,
Cao Phat Ltd. Co,,,,,Cashew 25,,,
"Caoxian Woqi Outdoor Equipment Co.,Ltd",,Cindy Email,,,Sports / Stadium sports cushion,,,Product pictures
CAP AGRO - Site Marrakech,,Morocco,contact@capagro.com,https://capagro.com/,Fresh fruits and vegetables,,,
CAP Seafoods Pvt. Ltd.,,India,,website not available,Shrimps,,,
Capay Canyon Ranch,,USA,leslie@capaycanyon.com,https://capaycanyonranch.com/,Almonds - Ruchita,,"Capay Canyon Ranch
P.O. Box 508
Esparto, CA 9562",almonds
CAPE DRIED FRUIT,,-,Email not given,https://capedriedfruit.com/,Dried Fruits & Nuts,,,apricots
Capital Foods Private Limited (India):,,Care@Tataconsumer.Com / Gdpo@Tataconsumer.Com,,,BRC Instant Noodles,,,
"CAPITAL RICE CO., LTD.",,Thailand,export@capitalrice.com,https://www.capitalrice.com/,Rice list,,,"Jasmine Rice, Organic Rice, Glutinous Rice, Parboiled Rice"
Capital Ventures Private Limited,,India,"info@cvpl.in, saksham.goyal@cvpl.in",https://www.cvpl.in/about,Rice list,,,Basmati Rice
Capithan Exporting Company,,India,capithan@rediffmail.com,https://www.capithansgroup.com/,Shrimps,,,"Cephalopods,Fin fishes, Crustaceans, Shell Fishes
Cooked/Blanched"
CAPRO CI SA,,,,,Cashew 25,,,
"Cardinal Agri Products, INC",,Philippines,,no website,Dried Fruits List,,,Dried Mango
Cargill Canada,,Canada,eric_fossay@cargill.com,https://www.cargill.com/,Red lentils Nov24,,,
CARIOCA FOOD SRL,Bastia Umbra,Italy,,,Dried Fruits,Food,,
Carloo,,India,info@carloo.in,https://tea-india.org/carlootextile,Apparels,,,Mens/Womens/ Kids wear
CARLOS JHAIR ANDRADE PEÑA,,Ecuador,carlosluis.and@gmail.com,,Fresh Fruits & Vegs,,,Food/fresh fruits -vegetables
Carmel Cashews,,,,,Cashew supplier for Middle Eas,,,
Carozzi Formaggi S.r.l.,,Italy,,https://www.carozzi.com/,Nuts List,,,Cheese
Carter Pecan (ARNCO INC),,Georgia,sally@carterpecan.com,www.carterpecan.com,Pecan Nuts,,"248 West doublegate Dr Albany, Georgia 31721",Pecan Product
CASHEW COAST,,,,,Cashew 25,,,
Cashew Food’s,,Cote D'Ivoire,"achta@cashewcoast.com,
linelle@cashewcoast.com",,Cashew Nov 24,,,
Cassua,,,info@cassua.com,,Sial Shrimp,,,Shrimp
Castlerock Fisheries PVT. LTD,,India,"info@castlerock.in, 
sales@castlerock.in,  haridas@castlerockgroup.in",https://www.castlerock.in/,Frozen Shrimps,,,Shrimp
Castlerock Fisheries Pvt. Ltd. - Unit III,,India,sales@castlerock.in,https://www.castlerock.in/,Shrimps,,,"Cephalopods,fish , crab, lobster, shrimp"
Catz International B.V.,Rotterdam,Netherlands,,,Dried Fruits,Agents and Brokers,,
"Caudill Seed Company (DBA Whole Alternatives LLC, Caudill Sprouting LLC, & C S Health LLC)",Louisville,USA,,,Dried Fruits,Food,,
CCL LABEL SPA,,Chile,,,Chile from BRC,,,
Celebes Agricultural Corporation,,Philippines,celebes.marketing@gmail.com,https://www.celebes.ph/,Dried Fruits List,,,All coconut product
Celebes Canning Corporation,,Philippines,celebes.marketing@gmail.com,https://www.celebes.ph/,Dried Fruits List,,,All coconut product
CELEBES COCONUT CORPORATION,,Philippines,celebes.marketing@gmail.com,https://www.celebes.ph/,Dried Fruits List,,,All coconut product
CELEBES OIL MILL INCORPORATED,,Philippines,celebes.marketing@gmail.com,https://www.celebes.ph/,Dried Fruits List,,,All coconut product
Central Fruticola El Parque SPA Planta 1,,Chile,,no webstie,Chile from BRC,,,
Central Fruticola Lontue SPA,,Chile,info@cfscl.cl,https://cfscl.cl/,Chile from BRC,,,
Central Fruticola San Clemente S.A,,Chile,mtoro@sclem.cl,https://sclem.cl/,Chile from BRC,,,
Centro Tecnologico Agropecuario S.A.,,Argentina,,,Peanuts Jan 24,,,
Centry rice,,Thailand,https://centuryrice.com/,jpanja@centuryrice.com,Rice list,,,
Century Apparels Pvt Ltd,,India,info@centuryapparels.com,https://www.centuryapparel.com/,Apparels,,,Mens/Womens/ Kids wear
Century Pacific Agricultural Ventures Inc.,,Philippines,"sgabaldon@centurypacific.com.ph, saguado@centurypacific.com.ph",https://cpavi.com.ph/products/,Dried Fruits List,,,All coconut product
CENTURY PACIFIC FOOD INC.,,Philippines,,https://centurypacific.com.ph/,Dried Fruits List,,,All coconut product
Century Snacks,,,JSmith@centurysnacks.com,https://centurysnacks.com/,Almonds - Ruchita,,,pista
CEREAIS CONFIANÇA COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO,,Brazil,,,Peanuts Jan 24,,,
Cerealista Marani Ltda - EPP,,Brazil,,,Peanuts Jan 24,,,
Cerealista N P Zanchetta Importação e Exportação de Cereais,,Brazil,,,Peanuts Jan 24,,,
Ceres Natural Foods Pty Ltd trading as Pureharvest and Living Planet,Drouin,Australia,,,Dried Fruits,Food,,
Ceylon Biscuits Limited,,Sri Lanka,inquiry.cbl@cbllk.com,https://cbllk.com/,Biscuits- Cookies,,,Biscuits-cookies
Ceylon Fresh Seafood,,Sri Lanka,info@cfs.lk,https://www.ceylonfreshseafood.com/fish2,Sri Lanka Exporters,,,Shrimp
Ceylon Plant Food (Pvt) Ltd,Dankotuwa,Sri Lanka,info@ceyplalk.com,https://ceylonplantfood.com/,Dried Fruits,Food,,
CG CORP GLOBAL,,,,,Instant Noodles,,,india
CG Foods / Chaudhary Group (Wai Wai),,Nepal / Thailand,info@chaudharygroup.com,https://cgcorpglobal.com,Instant Noodles,,,Instant Noodles
CG Foods Europe,,Thailand,euinfo@cgcorpglobal.com,https://jubjubnoodle.com/,Instant Noodles,,,
CG Gold Sun,,China,annie@chgoldsun.com,https://en.goldsunsx.com/,Hotel,,,
CG Hacking and Sons Limited,London,United Kingdom,,,Dried Fruits,Agents and Brokers,,
CHABBA,,Thailand,"sales@chabaabangkok.com
salesdomestic@chabaabangkok.com",http://www.chabaabangkok.com/,Kevin,,,Fruit juices
Chacha Thai Ltd.,,Thailand,contact@perfectearthfoods.com,https://perfectearthfoods.in.th/,Rice list,,,"Organic Rice Noodles, Pasta, Chia Seeds, Rice Crackers"
Chacha Thai Ltd. (Branch 2),,Thailand,,,Rice list,,,
Chain of Custody (CoC) certification assures that ASC certified seafood delivered to supply chain actors originates from,,,,,Frozen Shrimps,,,
Chaitanya Cashew Company,,,,,Cashew supplier for Middle Eas,,,
"CHAITIP CO., LTD",,Thailand,,https://www.chaitip.com/home.html,Rice list,,,"Jasmine Rice, White Rice, Cargo Rice, Glutinous Rice"
Chaitip-Co-Ltd,,,,https://www.chaitip.com/,Sial Rice,,,thai rice trading company
Chalna Marine Products Limited,,Bangladesh,email Id not available,website not avilable,Shrimps,,,"Black Tiger Shrimps, Fresh Water, Gray Harina, 
Ocean Tiger, Ocean White."
Chamanlal Setia Exports,,,,,Sial Rice,,,
ChamanLal Setia Exports Ltd,,India,"maharani@futurerice.com, begum@futurerice.com",https://www.maharanirice.co.in/,Rice list,,,Basmati Rice
Chambal Fertilisers and Chemicals Ltd.,,India,"cg_purcom1@chambal.in
corporate@chambal.in",https://www.chambalfertilisers.com/,Fertilizers,,,"Urea, DAP, MOP, complex fertilizers, agri-inputs"
Chamonate SPA,,Chile,contact@chamonate.cl,https://chamonate.cl/,Fresh fruits and vegetables,,,
Chandra Cashew Imports and Exports Pvt. Ltd.,,,,,Cashew supplier for Middle Eas,,,
Chandra Mats Pvt. Ltd.,,India,,,Household Textiles,,"Plot No K-224, 225 MIDC, Area, Waluj, Aurangabad, Gangapur, Maharashtra, INDIA",
"Changshu Hongye Printing & Dyeing Co.,",,China,,,Household Textiles,,"No. 28, Hualian Road, Changshu, Jiangsu CHINA",
"Changshu Pinhong Textile Co., Ltd.",,China,,,Household Textiles,,"Changshu, Jiangsu CHINA",
"Changshu Xiahong Textile Co., Ltd.",,China,,,Household Textiles,,"No. 106, Nanyuan Road, Changshu, Jiangsu CHINA",
"Changshu Xin Shi Fang Textile Co.,Ltd",,China,,,Household Textiles,,"No.2 Building，No.18 Yufeng Road，Yushan Fangbang Industrial Z, Changshu, Jiangsu, CHINA",
"Changshu Yisheng Textile Co., Ltd.",,China,,,Household Textiles,,"8, Hudong Village, Guli Town, Changshu City, Jiangsu, CHINA",
"Changshu Zhengtai Textiles Co., Ltd.",,China,,,Household Textiles,,"No. 9-1, Jiulong Road, Changshu, Jiangsu CHINA",
CHANGZHOU BROAD NEW MATERIALS,,China,,,Household Textiles,,"No.191 Baiyang Bridge, Zhenglu Town ,Changzhou City, Jiangsu CHINA",
"Changzhou Innovation HomeStyles Co., Ltd",,China,,,Household Textiles,,"8, East Chuangye Road, Baizhang, Chunjiang Town, Xinbei Dist, Changzhou, Jiangsu, CHINA",
"Changzhou Kaifeng Rubber Products Co.,",,China,,,Household Textiles,,"No. 68, Nujiang Road, Jincheng Town, Jintan District,, Changzhou, Jiangsu, CHINA",
"Chanthaburi Global Foods Co., Ltd",,Thailand,sales@cgfreezedry.com,www.cgfreezedry.com,Rice list,,,Frozen Fruits & Vegetables
Charoensang Co. Ltd.,,Thailand,sales.charoensang@gmail.com,,Anuga - India,,,Coconut Shell Products
"CHASE PECAN, LP",,,DrewHaas@chasepecan.com,,SIAL NUTS,,,NUTS
"Chaucer Foods (Qingdao) Co., Ltd",Qingdao,China,,,Dried Fruits,Food,,
Chaucer Foods USA,Forest Grove,USA,,,Dried Fruits,Food,,
CHAVIN,,Peru,VENTAS@AGCHAVIN.COM,https://www.chavin.com.pe/,Dried Fruits List,,,"fresh fruits, frozen fruits, pulp and concentrate"
Chawala Enterprises,,Pakistan,info@chawala.com.pk,https://www.chawala.com.pk,Hospital Textiles,,,"Scrubs, uniforms, patient gowns, sheets, curtains, blankets; non-wovens"
Chef’s Secret Inc,,Philippines,,,Dried Fruits List,,,KITCHEN
Chelmer Foods Ltd,Braintree,United Kingdom,,,Dried Fruits,Agents and Brokers,,
Chemmarathil Cashew Company,,,Shri. Syam C.,,Cashew supplier for Middle Eas,,,
"Chemmarathil Cashew Company, Kottarakkara",,,,,Cashew supplier for Middle Eas,,,
"Chen-chee Grains and Consumable Oils Co., Ltd.",Harbin City,China,,,Dried Fruits,Agents and Brokers,,
"CHENGDE HUA LANG FOOD CO., LTD.",,China,marketing@hualangfood.com,http://hualangfood.com/,Agent & Distributor list of Dri,,,Dried Mango
"Chenkulathu Cashew Factory, Valakom",,,,,Cashew supplier for Middle Eas,,,
"Chethana Cashew Corporation, Kochupilamoodu",,,,,Cashew supplier for Middle Eas,,,
CHEWY INTERNATIONAL (CHINA) FOODS LTD.,,China,saleshk@chewy.com.hk,https://www.chewy.com.hk/,Instant Noodles,,,
Chhatariya Foods Pvt. Ltd.,,India,,onion and garlic,Pulses,,,Food
CHICKLES GUM Ltd.,,Spain,info@chicklesgum.com,LINK,Snacks and Sweets Expo in Dubai,,,Gum
Chico Nut Company,,USA,,https://www.chiconut.com/index.php,Nuts List,,,"Walnuts, Almonds"
CHIN HUAY PUBLIC COMPANY LIMITED,,Thailand,info@chinhuay.com,https://www.chinhuay.com/en/home,Rice list,,,"Canned Fish, Dried Fruits"
China,,,,,Instant Noodle,"LINGHANG FOOD (SHANDONG) CO., LTD",,
"CHINA KUNYU INDUSTRIAL CO.,LIMITED",,China,,,Fruits Concentrates,,,Orange juice Concentrate
CHIRPS INTERNATIONAL,,713,rajiv@chirps.in,https://chirps.in/,Pulses,,,"DRIED LEGUMINOUS VEGETABLES, SHELLED, WHETHER OR NOT SKINNED OR SPLIT"
CHO & ASSOCIATE CREATIV SERVICES PRIVATE LIMITED,,713,,,Pulses,,,"RED KIDNEY BEANS, CHICKPEAS, GREEN GRAM"
Chocolat Lamontagne Inc,Sherbrooke,Canada,,,Dried Fruits,Food,,
Choconut B.V.,Zuidwolde Dr,Netherlands,,,Dried Fruits,Food,,
Choice Canning Company,,,,trader,Shrimps,,,
Choice Canning Company (Division of Choice Trading Corporation Private Ltd),,India,email not available,https://choicegroup.in/canning.html,Shrimps,,,eat shrimps in retail bags.
"Choice Cashew Industries, Chandanathope",,,,,Cashew supplier for Middle Eas,,,
Chokchaipibul Company Limited,,Thailand,sales-software@chokchaipibul.co.th,https://www.chokchaipibul.co.th/,Rice list,,,Software Developer
CHOKHI DHANI FOODS,,India,cmdoffice@chokhidhani.com,https://chokhidhanifoods.com/,Rice list,,,"Rice, Desserts, Pickles, Jams, Sauces, Pastes, Soups"
"CHOLBURI SUGAR & TRADING CORP., LTD",,,admin@sahakarnsugar.com,https://www.sahakarnsugar.com/,Sugar,,,
"Chothy Enterprises, Kilikollur",,,,,Cashew supplier for Middle Eas,,,
CHRISTOS DIM. KARAGIANNIS SA “KSIROKARP”,Amfilochia,Greece,,,Dried Fruits,Food,,
Chukde Spices,,,info@chukde.com,https://www.chukde.com/,Ground Spices,,"3rd Floor, B-63 Prashant Vihar Road New Delhi 110085, India",
"CHUZHOU UNITED FOOD CO.,LTD",Chuzhou,China,,,Dried Fruits,Food,,
Ciavolino Daniele & Figli Roma Srl,,Italy,,no website,Dried Fruits List,,,no website
"Cibo Vita, Inc.",,USA,,,Aldi List - Nuts,,,
Ciex,,Brazil,comercial@ciex.com.br,https://www.ciex.com.br/,Brazil Nuts,,"Rua Guilherme Moreira, 162, Manaus-AM, Brasil",Brazil Nuts
CILAGRI,,Cote D'Ivoire,contact@cilagri.com,https://cilagri.com/,Cashew Nov 24,,,
Cilagri Cajou,,,,,Cashew 25,,,
Cinch Markets Ltd,,Fresh Vegs,,,Fresh Vegs,,,
"CITRICOS COX, SAT Nº 324-CV",,Spain,no website,,Fresh fruits and vegetables,,,
Citrofrut,,Mexico,,,Orange Juice  & Concentrate,,,"Puree, Concentrate"
Citrojugo,,Mexico,fabiola_zarate@citrojugo.com.mx,https://citrojugo.com.mx/,Orange Juice  & Concentrate,,,"Puree, Concentrate"
CJ CAU TRE FOODS JOINT STOCK COMPANY – LONG AN BRANCH,,Vietnam,info@cjfoodsvietnam.vn,https://cjfoods.com.vn/stores/cau-tre,Rice list,,,Ready Meals
CJ Uniworld Corporation,,Philippines,,https://jncphilippinebananachips.com/,Dried Fruits List,,,BANANA CHIPS
Classic Carpets,,Indonesia,,,Household Textiles,,"JI. Rungkut Industries, 11/39 Kota Surabaya,, Jawa Timur, Jawa Timur East Java, INDONESIA",
Classique Textile (PVT) Ltd.,,Pakistan,,,Household Textiles,,"Batala Colony Satiana Road, Faisalabad, 38 PAKISTAN",
CLIFTON EXPORT PRIVATE LIMITED,,India,avarghese@cliftonexport.com,https://www.cliftonexport.com/,Apparels,,,Apparel
Clough Pecan Company,,,sales@cloughpecan.com,,Pecan Nuts,,"3417 U. S. Hwy 84 W Blackshear, GA 31516",Pecan Product
"Cm Premium Rice Co., Ltd",,Thailand,,cmp@cmp-rice.com,Rice list,,,
"CO MAY CO., LTD",,Vietnam,info@comayimexco.com,https://comayimexco.com/en/about.html,Rice list,,,Seafood
Coastal Aqua Private Ltd.,,India,"sales@costalaqua.in,  info@coastalaqua.in",http://coastalaqua.in/,Frozen Shrimps,,,Shrimp
"Coastal Aqua Private Ltd. ASC-C-03785 0 Whiteleg shrimp Litopenaeus vannamei Coastal Aqua Private Ltd. 28-06-2025 00:00 Certified ""1-164",,,,,ASC Shrimp,,,
Coastal Corporation,,India,info@coastalcorp.co.in : marketing@coastalcorp.co.in,https://coastalcorp.co.in/product,Shrimps,,Andhra Pradesh,Shrimp
Coastal Corporation Limited,,India,"mkrishna@coastalcorp.co.in
marketing@coastalcorp.co.in
info@coastalcorp.co.in",https://coastalcorp.co.in/,Shrimps,,,"sea tiger, whites, pink brown, vannamei, black tiger"
"Coastal Corporation Limited, Unit-II",,India,,Repeat of row 87,Frozen Shrimps,,,Shrimp
Coastal Growers LLC,,USA,contact@coastalgrowersllc.com,https://coastalgrowersllc.com/contact-us/,Nuts List,,,Peanuts
Coastal Nuts Tanzania Ltd,,,,,Cashew 25,,,
Coco Davao Inc,,Philippines,,NO WEBSITE,Dried Fruits List,,,Dried Mango
Coco Fibre Tex,,India,,,Household Textiles,,"IV/428/429, Mararikulam South Grama Panchayathu, Kerala, Kerala, INDIA",
COCONUT SELLER,,,info@coconutseller.in,https://coconutseller.in/about-coconut-supplier/,Coconut,,"#27/8, 1st Floor, Sri Annapoorneshwari Complex
Pipeline Road, Bahubali Nagar, Jalahalli Post
Bengaluru, Karnataka 560013
India",
COCONUT SIAM EXPORT CO LTD,,,export@coconutsiam.com / info@coconutsiam.com,http://www.coconutsiam.com/,Coconut,,,
Coelho & Dias,,,geral@coelhoedias.pt,,Sial Shrimp,,,Shrimp
COFCO International,,,,https://www.cofcointernational.com/,Sugar,,,
COFIDEC- COFIDEC FACTORY,,Vietnam,sales@cofidec.com.vn,https://cofidec.com.vn/,Dried Fruits List,,,Dried Mango
Cofimar S.A,,Ecuador,sales@cofimar.com.ec,https://cofimar.ec/,Frozen Shrimps,,,Shrimps
Cofimar S.A.,,Ecuador,sales@cofimar.com.ec,https://cofimar.ec/,Frozen Shrimps,,,Shrimps
COFINA AGRO CEREALES SA,,Argentina,,,Peanuts Jan 24,,,
Coinrefri,,,denunciaconfidencial@coinrefri.com,,Peru List sent by J,"Best aqua culture, MSC",,Frozen fish
Coiryarantex,,India,,,Household Textiles,,"Asramam Ward,Opp.Sree Ramakrishna Asramam,Avalookunnu.PO, Alappuzha, Kerala, INDIA",
COLD CHAIN SOLUTION,,713,,,Pulses,,,CHICKPEAS
COLDWATER UNITED SEAFOOD MAROC sarl,,Morocco,,website not available,Shrimps,,,
Colian sp. z o.o. zakład Bydgoszcz,Bydgoszcz,Poland,,,Dried Fruits,Food,,
Colian sp. z o.o. zakład Kalisz,,Poland,,,Dried Fruits List,,,FOOD E SHOP
Colombo Export and Import Ag,,Sri Lanka,contact@ceialgroup.com,https://ceial.com/,Sri Lanka Exporters,,,"Coconut, Spices, Essential Oils"
Colombo Spice Exports,,Sri Lanka,sales@colombospicesexport.com,https://colombospicesexport.com/contact-us/,Sri Lanka Exporters,,,"Pepper, Cinnamon, Cloves"
Colorexa S.A.C.,,Peru,sales@colorexa.com,https://www.colorexa.com/,Quinoa -Nov24,,,
COLOUMBIA GRAIN,,,CGIPulseMerchandising@columbiagrain.com,http://www.columbiagrain.com/,Pulses,,,
Columbia Seed Co. Ltd.,,Canada,joerg@columbiaseed.ca,https://www.columbiaseed.ca/,Red lentils Nov24,,,
Comercial Foods Corp SAC,,Peru,"cfc@comercialfoods.com

wpaucar@comercialfoods.com",https://comercialfoods.com/contacto/,Brazil Nuts,,"Mz B lot 11 Av Francia Urb Costa Mar – Callao, Lima – Peru.",Brazil Nuts
Comercial Greenvic S A,,Chile,INFO@GREENVIC.CL,https://www.greenvic.cl/,"Import yeti,",,,Fresh fruits
"Comercial Greenvic S.A., Planta Maipo",,Chile,,https://greenvic.cl/,Nuts List,,,Fresh Fruits
Comercial Inal 2005 S.A.,,Argentina,,,Shrimps,,,
Comercial Piwen SPA,Santiago,Chile,,,Dried Fruits,Food,,
Comercializadora Econut Limitada,,Chile,comercial@econut.cl,https://www.econut.cl/,Nuts List,,,Walnuts
COMERCIO ALTERNATIVO DE PRODUCTOS NO TRADICIONALES Y DESARROLLO PARA LATINO AMÉRICA PERÚ - PLANTA LIMA,,Peru,,,Nuts List,,,
Comité Interprofessionnel de la Noix de Grenoble,,,not shared,,SIAL NUTS,,,Walnuts
COMMERCIAL LYNKS,,,contactus@commerciallynks.com,http://www.commerciallynks.com/,Pulses,,,
Commodities Exchange LTD,,London,"sam@commoditiesx.co.uk
info@commoditiesx.co.uk",https://www.commoditiesx.co.uk/en/index.html,Gulf food _ Pulses,,,Pulses
Community Foods Limited - Witham,Witham,United Kingdom,,,Dried Fruits,Food,,
Compagnie Industrielle Et Commerciale D’Anacarde,,Cote D'Ivoire,"production@cicoa.group,
straore@cilagri.com",,Cashew Nov 24,,,
COMPAÑÍA EMPACADORA DUFER CÍA. LTDA.,,Ecuador,info@empacadoradufer.com,https://www.empacadoradufer.com/,Frozen Shrimps,,,Shrimps
Compass Food Sales Ltd,Aurora,Canada,,,Dried Fruits,Food,,
Completed Basmati Rice category,,,,,Sial Rice,,,
Compliance Rice Resources Pvt Ltd.,,Pakistan,,,Rice list,,,
Comrural XXI S.R.L.,,Bolivia,info@comrural.com.bo,https://comrural.com.bo/,Quinoa -Nov24,,,
Condite Oy/Prominent Food GMP Oy,,Finland,tilaukset@condite.fi,https://condite.fi/prominent-food-gmp-oy-osaksi-conditea/,Nuts List,,,Irca Cremirca Orange
Cong Ty Co Phan Quoc Te Bao Hung,,Vietnam,sale.executive3@bkbaohung.com.vn,"www.bkbaohung.com
www.omeli.com.vn",Anuga - India,,,Cakes and Bread
Congeladora y Empacadora Nacional S.A. de C.V. - Planta Irapuato,,Mexico,diana.violeta26@gmail.com,,Avocado-Nov 24,,,
Cono S.A.,,Argentina,https://www.cono-group.com/,http://info@cono-group.com/,Chia Seeds NOv 24,,,
